	inst	cnt	len
423	Allianz GIobal Investors GmbH.	6	30
424	GLORY SKY CO.,LTD.耀天股份有限公司	6	26
425	香港商誠利置業有限公司	6	11
426	大陸商均輝電氣(中國)有限公司	6	15
427	日商 D&N INTERNATIONAL CO., LTD.	6	30
428	澎湖縣政府	6	5
429	英屬維京群島商 AL NAIR LIMITED	6	23
430	英屬蓋曼群島商數位通國際網路有限公司	6	18
431	ALT INVESTMENTS LIMITED英屬維京群島商捷伸投資有限公司	6	38
432	耀華玻璃股份有限公司管理委員會	6	15
433	麻豆區公所	6	5
434	香港商亨達台灣投資有限公司	6	13
435	英屬維京群島商REALCO TRANSPORTATION GROUP LTD.	6	39
436	日商日立金屬株式會社	6	10
437	日商  AMITA CORPORATION	6	21
438	荷蘭商荷蘭德州儀器公司 Texas Instruments Holland B.V.	6	42
439	HIACHIEVE TECH IND. (蓋曼商)	6	25
440	日商岡谷鋼機株式會社	6	10
441	彰化基督教醫療財團法人	6	11
442	英屬維京群島商 Primebase Group Limited	6	31
443	英屬維京群島商威富投資股份有限公司(WINFUL ADVENTURE CO., LTD.)	6	45
444	(株)OHARA會社	6	10
445	荷商Mulgrave Corporation B.V.	6	27
446	蕯摩亞商 Intelligent Int'I Holding Corp.	6	36
447	美商Trillion Science, Inc	6	23
448	雙葉電子工業株式會社	6	10
449	德商美惠風場兩合有限公司 (MeiHui Windpark GmbH & Co. KG)	6	44
450	日商精工電子工業株式會社	6	12
451	PST Holdings (BVI) Ltd.	6	23
452	田中鎮公所	6	5
453	巴拿馬商羅門投資有限公司	6	12
454	香港商 GHFI HK Co., Limited	6	24
455	英屬蓋曼群島商 MiCareo Inc.	6	20
456	第一石產運輸株式會社	6	10
457	美商智網國際股份有限公司	6	12
458	塞席爾商 Rotation Global Co. Ltd.	6	29
459	荷蘭商 Magma Design Automation B.V.	6	32
460	英屬蓋曼群島商OTTO2 HOLDINGS CORPORATION	6	33
461	日商MICRONICS JAPAN CO.,LTD	6	25
462	日商株式會社SCREEN セミコンダクターソリューションズ日商SCREEN Semiconductor Solutions CO.,LTD.)	6	71
463	日商華歌爾股份有限公司	6	11
464	英屬蓋曼群島商其利工業集團有限公司	6	17
465	美商 Rowan Technologies Inc.	6	26
466	日商愛德克斯股份有限公司（ADVICS CO., LTD.）	6	30
467	Grand Development China Technology Limited	6	42
468	日商三麗鷗株式會社	6	9
469	英屬維京群島商PCG Bros(Holdings)Co.,Limited	6	36
470	英國商Alent Investments Limited	6	28
471	英屬維京群島商 Porrima Global Ltd.	6	27
472	日商田中貴金屬工業株式會社	6	13
473	新加坡商東芝電氣亞洲(新加坡)私人有限公司	6	21
474	香港商景順投資管理有限公司	6	13
475	株式會社九電工	6	7
476	香港商合眾汽車有限公司(Triangle Motors Limited)	6	36
477	日商パナホーム株式會社	6	11
478	新加坡商紀伊國屋書店有限公司 KINOKUNIYA BOOK STORES OF SINGAPORE PTE LTD	6	58
479	大陸商納愛斯浙江投資有限公司	6	14
480	英屬維京群島商 KORNHILL GROUP LIMITED.	6	31
481	香港商 The Oyatsu Company International Limited	6	44
482	薩摩亞商 Magic  Hero  Limited	6	25
483	Artilux Corporation	6	19
484	長庚醫療財團法人	6	8
